session,averageAmplitude,zeroCrossing,Silence ratio
Ses01F_impro01_F000,196.07558867936646,"[[ 0.04443359  0.06347656  0.08398438  0.07714844  0.08056641  0.07763672
   0.08447266  0.08251953  0.07666016  0.07519531  0.06396484  0.06933594
   0.08935547  0.10742188  0.14501953  0.17773438  0.18847656  0.25683594
   0.23535156  0.26855469  0.24462891  0.15820312  0.13769531  0.06982422
   0.05224609  0.04541016  0.04248047  0.03466797  0.03955078  0.04394531
   0.04882812  0.05078125  0.06054688  0.0703125   0.08251953  0.09667969
   0.10449219  0.10498047  0.11035156  0.10742188  0.10546875  0.10595703
   0.10400391  0.09960938  0.10839844  0.10888672  0.11865234  0.13671875
   0.13623047  0.14990234  0.14404297  0.14306641  0.14990234  0.15478516
   0.16015625  0.15332031  0.13378906  0.125       0.10546875  0.08349609
   0.06103516]]",0.5689549937357448
Ses01F_impro01_F001,219.2994710429947,"[[ 0.07519531  0.09814453  0.12451172  0.10693359  0.09521484  0.08740234
   0.07177734  0.0625      0.04589844  0.04931641  0.05029297  0.04980469
   0.05908203  0.06103516  0.06347656  0.08251953  0.08447266  0.07666016
   0.078125    0.07861328  0.09814453  0.11914062  0.12792969  0.12744141
   0.1171875   0.10449219  0.10693359  0.1015625   0.10839844  0.12158203
   0.11767578  0.11621094  0.09716797  0.08642578  0.08398438  0.08154297
   0.08007812  0.07910156  0.08642578  0.08544922  0.08740234  0.08056641
   0.05371094  0.03613281]]",0.8380577783805778
Ses01F_impro01_F002,191.327190320262,"[[ 0.02978516  0.04150391  0.06201172  0.06738281  0.0703125   0.07617188
   0.07617188  0.08398438  0.12207031  0.16308594  0.20507812  0.23632812
   0.25146484  0.24804688  0.24462891  0.23486328  0.2109375   0.20263672
   0.17041016  0.14746094  0.13769531  0.11328125  0.11474609  0.10205078
   0.08349609  0.07470703  0.06738281  0.08300781  0.08251953  0.08544922
   0.09716797  0.09521484  0.09814453  0.10791016  0.09863281  0.08837891
   0.0859375   0.07226562  0.06005859  0.05126953  0.04638672  0.05175781
   0.06152344  0.06591797  0.06591797  0.05761719  0.05224609  0.05371094
   0.06005859  0.07421875  0.07275391  0.07128906  0.06347656  0.06103516
   0.06005859  0.06152344  0.06835938  0.06298828  0.07080078  0.06787109
   0.06005859  0.05664062  0.05175781  0.05175781  0.0546875   0.06835938
   0.09667969  0.17431641  0.17529297  0.16162109  0.13330078  0.05419922
   0.05175781  0.06054688  0.07128906  0.08447266  0.10351562  0.11425781
   0.10839844  0.09863281  0.08105469  0.06738281  0.06982422  0.06738281
   0.06152344  0.06005859  0.05126953  0.05371094  0.06396484  0.06982422
   0.07617188  0.07861328  0.08251953  0.07470703  0.07568359  0.07666016
   0.06542969  0.04980469]]",0.833859116683971
Ses01F_impro01_F005,1181.2080367251351,"[[ 0.01660156  0.02685547  0.05126953  0.05761719  0.07226562  0.07324219
   0.06738281  0.06542969  0.05615234  0.06201172  0.06005859  0.07080078
   0.08105469  0.08056641  0.08837891  0.08642578  0.08496094  0.0859375
   0.07470703  0.06933594  0.06982422  0.06884766  0.07617188  0.07519531
   0.06738281  0.06494141  0.06103516  0.06689453  0.07421875  0.07177734
   0.06835938  0.05371094  0.04296875  0.04882812  0.05273438  0.06494141
   0.06884766  0.0703125   0.06591797  0.06054688  0.06103516  0.06396484
   0.07080078  0.10986328  0.12548828  0.13378906  0.1484375   0.11474609
   0.09814453  0.08984375  0.07910156  0.08056641  0.08203125  0.08740234
   0.08105469  0.07324219  0.07080078  0.06054688  0.06054688  0.06201172
   0.06542969  0.07910156  0.09570312  0.11621094  0.13183594  0.12792969
   0.11230469  0.09277344  0.08105469  0.07666016  0.06982422  0.0625
   0.05078125  0.03955078  0.04785156  0.05664062  0.07128906  0.09570312
   0.09277344  0.09228516  0.09423828  0.07714844  0.08398438  0.1171875
   0.22265625  0.29589844  0.30615234  0.30957031  0.21777344  0.14599609
   0.12402344  0.09130859  0.07470703  0.06884766  0.07714844  0.10351562
   0.09667969  0.10595703  0.10498047  0.07470703  0.07763672  0.078125
   0.08105469  0.09179688  0.09423828  0.09619141  0.10107422  0.10449219
   0.10107422  0.10351562  0.10351562  0.11376953  0.13232422  0.12890625
   0.14160156  0.12939453  0.12451172  0.12744141  0.11914062  0.12548828
   0.13330078  0.12255859  0.13183594  0.13085938  0.12158203  0.10498047]]",0.6332294235332434
Ses01F_impro01_F012,1157.9552954545454,"[[ 0.05371094  0.07470703  0.09619141  0.09667969  0.09716797  0.10400391
   0.11181641  0.11083984  0.11230469  0.11962891  0.12255859  0.12109375
   0.12744141  0.14160156  0.16064453  0.18554688  0.19433594  0.1796875
   0.17675781  0.17919922  0.16259766  0.15869141  0.14746094  0.13085938
   0.13623047  0.13427734  0.125       0.10742188  0.09228516  0.08251953
   0.08056641  0.10351562  0.09179688  0.07714844  0.07910156  0.08349609
   0.13427734  0.16650391  0.15332031  0.12353516  0.08154297  0.06054688
   0.06494141  0.06787109  0.07275391  0.07910156  0.08007812  0.07763672
   0.07763672  0.10253906  0.14160156  0.18945312  0.23632812  0.25585938
   0.24804688  0.24804688  0.22949219  0.20556641  0.20117188  0.17431641
   0.15185547  0.12646484  0.10107422  0.08251953  0.07666016  0.07568359
   0.06689453  0.06201172  0.05761719  0.05566406  0.05908203  0.05419922
   0.05371094  0.0546875   0.05419922  0.06103516  0.0625      0.06738281
   0.06933594  0.0703125   0.06396484  0.06103516  0.06054688  0.06396484
   0.06054688  0.04296875]]",0.7166136363636364
Ses01F_impro01_F014,898.9084935897437,"[[ 0.03710938  0.05761719  0.07470703  0.06201172  0.06835938  0.06396484
   0.06005859  0.06396484  0.05126953  0.046875    0.03710938  0.03613281
   0.04101562  0.03955078  0.04833984  0.05078125  0.05615234  0.06445312
   0.06445312  0.0703125   0.07080078  0.07275391  0.10839844  0.16015625
   0.18408203  0.19140625  0.18652344  0.15722656  0.15625     0.17089844
   0.16113281  0.14160156  0.11572266  0.10107422  0.08642578  0.07763672
   0.07421875  0.06347656  0.06298828  0.07666016  0.08203125  0.08642578
   0.08251953  0.07666016  0.08056641  0.07958984  0.10253906  0.11083984
   0.10595703  0.09912109  0.07714844  0.06738281  0.06591797  0.06689453
   0.07275391  0.0625      0.06396484  0.06738281  0.05957031  0.06738281
   0.06884766  0.07080078  0.07617188  0.07324219  0.07080078  0.06689453
   0.06738281  0.06835938  0.06445312  0.05615234  0.04931641  0.04345703
   0.05078125  0.06005859  0.08544922  0.10986328  0.11914062  0.11230469
   0.09521484  0.07958984  0.06884766  0.078125    0.07470703  0.07617188
   0.08496094  0.10205078  0.11132812  0.11230469  0.11621094  0.10400391
   0.11865234  0.13427734  0.13720703  0.14111328  0.12060547  0.10693359
   0.11474609  0.15283203  0.22998047  0.30566406  0.27539062  0.22314453
   0.13818359  0.05371094  0.06005859  0.08007812  0.08886719  0.10009766
   0.11328125  0.125       0.13867188  0.14208984  0.13623047  0.12304688
   0.11816406  0.12304688  0.13134766  0.13232422  0.13916016  0.15087891
   0.15527344  0.15332031  0.15039062  0.13671875  0.11279297  0.10644531
   0.1171875   0.10791016  0.11474609  0.11279297  0.07714844  0.06738281
   0.06152344  0.05371094  0.06640625  0.08740234  0.09228516  0.08496094
   0.07275391  0.046875    0.03955078  0.04980469  0.06445312  0.09082031
   0.12060547  0.13916016  0.15087891  0.14892578  0.14306641  0.14404297
   0.14599609  0.14160156  0.13330078  0.125       0.12353516  0.12255859
   0.11279297  0.09277344  0.05664062]]",0.5291296844181459
Ses01F_impro01_M011,1215.0075363219642,"[[ 0.09033203  0.13037109  0.15966797  0.14892578  0.13964844  0.12353516
   0.12304688  0.11621094  0.10742188  0.10888672  0.09228516  0.08789062
   0.08056641  0.07275391  0.08251953  0.07324219  0.07421875  0.07373047
   0.07275391  0.07080078  0.07373047  0.08740234  0.08642578  0.09667969
   0.09472656  0.078125    0.06933594  0.06640625  0.06201172  0.06347656
   0.07324219  0.0703125   0.06787109  0.07275391  0.07080078  0.06005859
   0.05810547  0.05664062  0.05371094  0.06640625  0.06494141  0.06201172
   0.05810547  0.05126953  0.05566406  0.0546875   0.11474609  0.19921875
   0.29833984  0.30810547  0.25195312  0.17480469  0.07128906  0.05517578
   0.04980469  0.05029297  0.06445312  0.08300781  0.09326172  0.09277344
   0.0859375   0.07226562  0.09228516  0.16650391  0.25732422  0.28857422
   0.28320312  0.28125     0.28710938  0.35107422  0.32958984  0.25146484
   0.14648438  0.05419922  0.05419922  0.07373047  0.10009766  0.12353516
   0.13916016  0.13183594  0.11865234  0.1015625   0.09619141  0.08837891
   0.07910156  0.06933594  0.05859375  0.08935547  0.12451172  0.12744141
   0.1328125   0.10058594  0.06689453  0.06396484  0.05761719  0.05322266
   0.06347656  0.07910156  0.10449219  0.10351562  0.09082031  0.07177734
   0.0546875   0.09179688  0.09716797  0.09570312  0.08691406  0.04833984
   0.04833984  0.04882812  0.05029297  0.04980469  0.04101562  0.04443359
   0.0390625   0.04101562  0.046875    0.05664062  0.06152344  0.06396484
   0.08740234  0.10449219  0.11181641  0.11523438  0.09472656  0.09375
   0.14355469  0.20507812  0.23339844  0.21142578  0.16210938  0.10107422
   0.07275391  0.07226562  0.07080078  0.09521484  0.13818359  0.18701172
   0.2421875   0.26123047  0.23730469  0.19140625  0.18017578  0.22949219
   0.34326172  0.40380859  0.36523438  0.32958984  0.30957031  0.31933594
   0.31298828  0.36572266  0.36376953  0.39501953  0.49462891  0.38427734
   0.26220703  0.14892578  0.04833984  0.05224609  0.05664062  0.06005859
   0.05810547  0.08007812  0.10595703  0.13330078  0.16650391  0.13964844
   0.1171875   0.09423828  0.06201172  0.06982422  0.07714844  0.07714844
   0.08642578  0.09130859  0.08886719  0.09472656  0.09228516  0.18945312
   0.21240234  0.27001953  0.28564453  0.19238281  0.16552734  0.09521484
   0.07470703  0.05224609  0.06835938  0.1015625   0.10400391  0.11572266
   0.10644531  0.08886719  0.10058594  0.11914062  0.12158203  0.11279297
   0.11035156  0.11914062  0.13671875  0.18017578  0.20410156  0.20361328
   0.234375    0.24023438  0.23291016  0.24902344  0.24169922  0.23925781
   0.27148438  0.26904297  0.22753906  0.19091797  0.13769531  0.09863281
   0.1015625   0.11083984  0.11572266  0.12353516  0.11767578  0.10693359
   0.11376953  0.10498047  0.11523438  0.09863281  0.06201172]]",0.6933502533689
Ses01F_impro01_M013,3358.226505249847,"[[ 0.05517578  0.07568359  0.09960938  0.09423828  0.11279297  0.11669922
   0.11621094  0.11474609  0.08837891  0.08349609  0.07714844  0.06933594
   0.07958984  0.08740234  0.08740234  0.07714844  0.06103516  0.05029297
   0.06005859  0.08544922  0.11572266  0.13574219  0.14892578  0.15380859
   0.15527344  0.15625     0.14892578  0.13720703  0.12402344  0.12841797
   0.14111328  0.15917969  0.15722656  0.13476562  0.10791016  0.08398438
   0.08300781  0.08300781  0.10400391  0.13183594  0.14697266  0.15625
   0.13183594  0.09912109  0.07177734  0.05859375  0.06347656  0.06738281
   0.08886719  0.20214844  0.29052734  0.29638672  0.27832031  0.16503906
   0.08398438  0.08691406  0.13183594  0.20166016  0.22705078  0.2109375
   0.1640625   0.10693359  0.07861328  0.0859375   0.07910156  0.06835938
   0.06738281  0.06884766  0.07910156  0.07958984  0.07177734  0.06396484
   0.06201172  0.06494141  0.06298828  0.06445312  0.0703125   0.07080078
   0.09765625  0.10546875  0.11914062  0.12744141  0.1171875   0.11914062
   0.11328125  0.11328125  0.11279297  0.11572266  0.11474609  0.11425781
   0.11523438  0.13085938  0.13232422  0.13867188  0.14306641  0.12744141
   0.11767578  0.11181641  0.10888672  0.10351562  0.10009766  0.08691406
   0.07226562  0.06982422  0.07324219  0.07421875  0.09179688  0.17285156
   0.17382812  0.17578125  0.16845703  0.08886719  0.09716797  0.09814453
   0.08837891  0.09277344  0.09619141  0.10205078  0.11816406  0.12841797
   0.12792969  0.12060547  0.11523438  0.109375    0.12939453  0.14794922
   0.13867188  0.13867188  0.13476562  0.1171875   0.13134766  0.13330078
   0.11376953  0.11572266  0.12988281  0.14453125  0.16259766  0.17919922
   0.16845703  0.15136719  0.13378906  0.13525391  0.13330078  0.12548828
   0.11523438  0.09765625  0.10302734  0.12011719  0.140625    0.14697266
   0.15722656  0.14404297  0.14892578  0.16552734  0.16064453  0.18066406
   0.18164062  0.18847656  0.20263672  0.21875     0.23095703  0.24414062
   0.2578125   0.25585938  0.25683594  0.22753906  0.20654297  0.19433594
   0.18017578  0.18994141  0.18505859  0.18798828  0.19824219  0.19384766
   0.20214844  0.2109375   0.19921875  0.19238281  0.18652344  0.17675781
   0.19433594  0.19238281  0.19140625  0.19335938  0.18603516  0.19238281
   0.17675781  0.13916016  0.08691406]]",0.48202199442365706
Ses01F_impro02_F000,122.50810789087669,"[[ 0.03027344  0.04541016  0.05908203  0.06054688  0.06103516  0.05566406
   0.06152344  0.05224609  0.05322266  0.06640625  0.06005859  0.06982422
   0.08300781  0.08447266  0.08398438  0.08691406  0.07763672  0.06933594
   0.07080078  0.06738281  0.07080078  0.07177734  0.06738281  0.06738281
   0.05126953  0.05908203  0.05859375  0.04931641  0.05664062  0.04638672
   0.05664062  0.06298828  0.06542969  0.06933594  0.07470703  0.15576172
   0.21923828  0.21386719  0.20117188  0.11816406  0.05029297  0.04785156
   0.05029297  0.04736328  0.04589844  0.04150391  0.0390625   0.04736328
   0.05175781  0.06640625  0.06787109  0.06054688  0.05273438  0.04003906
   0.03662109  0.03417969  0.04248047  0.05566406  0.06298828  0.06347656
   0.05908203  0.05517578  0.04638672  0.05517578  0.06835938  0.06445312
   0.06933594  0.06445312  0.06103516  0.06103516  0.06103516  0.07177734
   0.07080078  0.07226562  0.07324219  0.06396484  0.05615234  0.05957031
   0.05957031  0.06396484  0.06591797  0.06054688  0.05859375  0.05761719
   0.05371094  0.06054688  0.05908203  0.05810547  0.07373047  0.06738281
   0.07421875  0.07421875  0.06542969  0.07470703  0.07617188  0.08398438
   0.07617188  0.06591797  0.07958984  0.07958984  0.08544922  0.09423828
   0.07568359  0.06982422  0.06884766  0.06201172  0.06445312  0.06005859
   0.05517578  0.05224609  0.04199219  0.04003906  0.04736328  0.05126953
   0.05566406  0.06152344  0.05712891  0.05664062  0.06201172  0.05761719
   0.06054688  0.06542969  0.06445312  0.06689453  0.06884766  0.06201172
   0.06152344  0.06591797  0.06640625  0.06787109  0.07373047  0.07226562
   0.07763672  0.08056641  0.07568359  0.08007812  0.06738281  0.06835938
   0.06835938  0.05615234  0.05712891  0.0546875   0.04931641  0.05761719
   0.0625      0.06347656  0.07519531  0.06835938  0.06884766  0.06884766
   0.06054688  0.06396484  0.06787109  0.07275391  0.07470703  0.07519531
   0.06738281  0.05810547  0.05664062  0.05029297  0.04882812  0.05273438
   0.05664062  0.05712891  0.05566406  0.05615234  0.05371094  0.06396484
   0.08935547  0.16113281  0.22949219  0.23828125  0.2109375   0.18798828
   0.19433594  0.24316406  0.25585938  0.20458984  0.12353516  0.05322266
   0.03759766  0.04052734  0.04931641  0.05664062  0.05859375  0.05224609
   0.05273438  0.05322266  0.06152344  0.06054688  0.04833984  0.04296875
   0.04296875  0.04785156  0.05615234  0.06054688  0.06005859  0.06005859
   0.06054688  0.06103516  0.0546875   0.04980469  0.04541016  0.046875
   0.05322266  0.06152344  0.06689453  0.07763672  0.08789062  0.09667969
   0.09716797  0.08789062  0.07373047  0.06054688  0.05859375  0.05664062
   0.06201172  0.06347656  0.06542969  0.06787109  0.06396484  0.06640625
   0.06689453  0.0625      0.05859375  0.05615234  0.04541016  0.04833984
   0.05224609  0.0546875   0.05810547  0.05175781  0.04980469  0.04101562
   0.0390625   0.03808594  0.04199219  0.0546875   0.0625      0.06835938
   0.07177734  0.06542969  0.05908203  0.05615234  0.05664062  0.05957031
   0.0625      0.06347656  0.05175781  0.04882812  0.05615234  0.05859375
   0.06445312  0.06591797  0.05175781  0.04541016  0.04101562  0.03955078
   0.04541016  0.04638672  0.04882812  0.04589844  0.04345703  0.04589844
   0.04980469  0.05761719  0.06103516  0.0625      0.05859375  0.05517578
   0.05810547  0.06201172  0.06445312  0.06347656  0.0625      0.06298828
   0.05859375  0.05126953  0.04931641  0.03857422  0.04003906  0.05224609
   0.05712891  0.06298828  0.07324219  0.07568359  0.06933594  0.07421875
   0.06689453  0.05859375  0.05419922  0.03466797]]",0.586320069123035
Ses01F_impro02_F001,117.50825511945392,"[[ 0.03857422  0.05224609  0.06787109  0.0703125   0.06591797  0.06494141
   0.0625      0.06494141  0.0625      0.06738281  0.07421875  0.06738281
   0.07373047  0.07617188  0.08007812  0.078125    0.07958984  0.08154297
   0.07421875  0.078125    0.06494141  0.05273438  0.04638672  0.04785156
   0.05029297  0.06640625  0.06884766  0.05957031  0.06054688  0.04980469
   0.05273438  0.05761719  0.0546875   0.05664062  0.05078125  0.04638672
   0.04394531  0.0390625   0.03857422  0.03662109  0.03369141  0.02929688
   0.02636719  0.03320312  0.03564453  0.03417969  0.03222656  0.02734375
   0.02880859  0.03222656  0.03808594  0.05371094  0.05273438  0.04931641
   0.04492188  0.03076172  0.03515625  0.04833984  0.04882812  0.04785156
   0.04394531  0.03369141  0.03369141  0.04541016  0.05175781  0.05224609
   0.06054688  0.0546875   0.05712891  0.05712891  0.05566406  0.05224609
   0.05175781  0.06298828  0.06542969  0.06884766  0.06445312  0.05322266
   0.05566406  0.06005859  0.05859375  0.06396484  0.06054688  0.05712891
   0.06005859  0.05761719  0.05761719  0.05615234  0.05517578  0.06201172
   0.05908203  0.04394531]]",0.2607935153583618
